origin,destination,median_altitude,median_tas
KAFW,KMCI,16350.0,329.19
KAFW,KMSY,19176.0,343.65
KDFW,KMCO,24621.0,475.75
KAFW,KBNA,17180.0,303.05
KAFW,KOKC,14792.0,289.82
KDAL,MMSP,22341.0,469.47
KDAL,KLRD,21923.0,465.82
KDFW,KSJC,22396.0,377.41
KAFW,KORD,21616.0,411.41
KAFW,KAMA,19699.0,460.46
KDFW,KTUL,18486.0,457.1
KAFW,KSKF,7932.0,222.77
KDFW,KLIT,15134.0,398.11
KAFW,KOPF,23027.0,422.26
KDFW,KHSV,26408.0,473.26
KAFW,KPDX,25556.0,478.08
KDFW,KLFT,23988.0,472.07
KDFW,KIND,23323.0,474.57
KDFW,KDOV,25877.0,452.27
KAFW,KGEG,23448.0,474.16
KAFW,KMCO,24841.0,475.53
KAFW,KICT,18754.0,458.78
KAFW,KCLT,26236.0,477.08
KAFW,KMSP,18543.0,354.91
KAFW,KLAS,25939.0,484.46
KAFW,KDRT,21746.0,465.39
KDFW,KMEM,19316.0,389.77
KDFW,KJAX,26529.0,479.67
KDFW,KCVG,20717.0,365.62
KAFW,KPHX,28026.0,481.0
KDFW,KIAH,15111.0,215.9
KAFW,KMQY,17653.0,253.72
KDFW,KGSO,25831.0,443.07
KAFW,KMEM,14624.0,179.38
KDFW,KBDL,21390.0,375.63
KAFW,KIDA,27518.0,481.31
KAFW,KBFM,26321.0,476.67
KDAL,KMRC,21869.0,416.27
KDFW,KTIK,14900.0,249.01
KAFW,KMIA,23247.0,397.77
KDFW,KMSP,25158.0,462.3
KAFW,KSBD,26698.0,480.39
